number,degradation_on_density_high_level_smells,degradation_on_density_low_level_smells,degradation_on_diversity_high_level_smells,degradation_on_diversity_low_level_smells
1,True,True,False,False
2,True,True,True,True
4,True,True,False,True
5,True,True,False,False
6,True,False,True,False
7,False,False,False,False
8,False,False,False,False
9,False,True,False,False
10,True,True,False,False
11,True,True,False,False
15,False,False,False,False
18,False,True,False,False
20,True,True,False,False
22,False,False,False,False
23,True,False,False,False
24,True,True,False,False
25,True,True,False,True
26,True,True,False,True
27,True,True,False,False
28,False,False,False,False
29,True,True,False,False
31,False,True,False,False
32,True,True,False,True
33,False,True,False,False
35,False,False,False,False
36,True,False,True,False
37,True,True,True,False
38,True,True,False,False
39,False,True,False,False
41,True,True,False,False
42,True,True,False,False
43,True,True,False,False
44,False,False,False,False
45,False,False,False,False
46,False,True,False,False
49,False,False,False,False
50,False,False,False,False
51,False,False,False,False
52,False,True,False,False
53,True,True,False,False
54,True,False,False,False
55,False,False,False,False
56,False,False,False,False
57,True,True,False,False
58,False,False,False,False
59,True,True,False,False
60,True,True,False,False
61,False,False,False,False
62,False,True,False,False
63,True,True,False,False
65,True,True,False,False
66,True,True,True,False
67,False,True,False,False
68,True,True,False,False
69,False,True,True,True
70,False,False,False,False
71,True,True,False,False
72,True,True,False,False
73,True,True,False,True
74,True,True,False,False
75,False,False,False,False
76,True,False,False,False
77,True,True,False,False
78,True,True,False,False
79,False,False,False,False
80,False,False,False,False
81,False,True,False,False
82,True,True,False,False
84,False,True,False,False
85,True,True,False,False
86,False,False,False,False
87,False,False,False,False
88,True,False,False,False
89,False,False,False,False
90,True,True,False,False
93,True,True,False,False
94,False,False,False,False
95,True,True,True,True
97,True,True,False,False
98,True,True,False,False
99,False,False,False,False
100,True,True,False,False
103,False,False,False,False
105,False,True,False,False
106,True,True,False,False
107,False,False,False,False
108,True,True,False,False
109,False,False,False,False
110,True,False,False,False
111,False,False,False,False
112,True,True,False,False
113,False,False,False,False
114,True,False,False,False
115,True,True,False,False
117,False,True,False,False
118,False,False,False,False
119,False,True,False,False
120,False,True,False,False
121,False,True,False,False
122,False,False,False,False
123,True,True,True,True
124,True,True,True,True
125,False,True,False,False
126,True,False,False,False
127,True,True,False,False
128,False,True,False,False
130,False,False,False,False
131,False,True,False,False
132,False,True,False,False
133,False,False,False,False
134,False,False,False,False
136,True,True,False,False
137,False,True,False,False
138,False,False,False,False
139,False,False,False,False
140,False,False,False,False
141,False,False,False,False
142,True,True,False,False
143,False,True,False,False
144,False,True,False,False
145,True,True,False,False
146,True,True,False,False
147,False,False,False,False
148,False,False,False,False
149,False,True,False,False
150,False,True,False,False
151,False,False,False,False
153,True,True,False,False
154,False,False,False,False
155,False,False,False,False
156,False,False,False,False
157,False,False,False,False
159,False,False,False,False
161,False,True,False,False
162,False,False,False,False
163,False,False,False,False
164,False,True,False,False
165,True,True,True,False
166,True,True,False,False
167,False,False,False,False
168,False,False,False,False
169,False,True,False,False
171,False,False,False,False
172,True,False,False,False
174,True,True,False,False
175,True,False,False,False
