number,degradation_on_density_high_level_smells,degradation_on_density_low_level_smells,degradation_on_diversity_high_level_smells,degradation_on_diversity_low_level_smells
1,False,True,False,False
2,True,True,False,False
3,True,True,False,False
4,False,False,False,False
5,False,False,False,False
6,True,False,False,False
27,False,False,False,False
106,True,True,True,False
107,True,True,False,False
108,True,True,False,False
109,True,False,False,False
110,False,False,False,False
111,False,False,False,False
112,False,False,False,False
113,True,True,False,False
114,True,False,False,False
115,False,False,False,False
116,False,False,False,False
120,False,False,False,False
121,False,False,False,False
122,False,False,False,False
124,False,False,False,False
125,True,True,False,False
127,False,False,False,False
129,False,False,False,False
132,False,False,False,False
133,False,False,False,False
134,False,False,False,False
135,False,False,False,False
136,False,False,False,False
137,True,True,False,False
138,False,True,False,False
140,True,True,False,False
142,True,True,False,False
144,False,False,False,False
145,False,False,False,False
146,True,True,False,False
147,False,False,False,False
150,False,False,False,False
151,True,True,False,False
155,False,False,False,False
156,True,False,False,False
157,True,True,False,False
159,False,True,False,False
160,True,True,False,False
161,False,False,False,False
163,True,True,False,False
165,False,True,False,False
166,True,True,False,False
167,False,True,False,False
168,True,False,False,False
169,False,False,False,False
171,True,True,False,False
174,True,True,False,False
176,True,True,False,False
177,True,True,False,False
178,True,False,False,False
179,True,True,False,False
180,False,True,True,True
181,False,False,False,False
182,True,False,False,False
183,False,False,False,False
184,False,True,False,False
186,False,False,False,False
187,False,False,False,False
188,False,False,False,False
189,False,True,False,False
190,False,False,False,False
191,True,False,False,False
194,False,False,False,False
196,True,True,False,False
197,False,True,False,False
199,True,True,False,False
201,False,True,False,False
203,True,True,False,False
205,True,True,False,False
206,False,False,False,False
207,False,False,False,False
211,False,False,False,False
212,True,True,False,False
214,True,True,False,False
215,True,True,False,False
218,True,True,False,False
220,False,False,False,False
221,False,True,False,False
222,True,True,False,False
223,True,True,False,False
224,True,False,False,False
225,True,True,False,False
228,True,True,False,False
229,False,False,False,False
230,True,False,False,False
231,True,False,False,False
232,False,False,False,False
234,False,True,False,True
235,False,True,False,False
236,True,True,False,False
238,False,True,False,True
239,False,True,False,True
240,False,False,False,False
241,True,True,False,False
244,False,False,False,False
